MM0.1T1Accuracy,MM0.3T1Accuracy,MM0.5T1Accuracy,MM0.6T1Accuracy,MM0.7T1Accuracy,MM0.9T1Accuracy
0.573076923076923,0.5375,0.5298076923076923,0.5365384615384615,0.5221153846153846,0.5134615384615384
0.5807692307692308,0.5413461538461538,0.5278846153846154,0.5375,0.5259615384615385,0.5182692307692308
0.5778846153846153,0.5442307692307692,0.5307692307692308,0.5423076923076923,0.5307692307692308,0.5221153846153846
0.5759615384615384,0.5509615384615385,0.5336538461538461,0.5442307692307692,0.5355769230769231,0.525
0.575,0.5538461538461539,0.5432692307692307,0.5528846153846154,0.5384615384615384,0.5298076923076923
0.573076923076923,0.5567307692307693,0.5480769230769231,0.5557692307692308,0.5461538461538461,0.5336538461538461
0.575,0.5605769230769231,0.5480769230769231,0.5567307692307693,0.5471153846153847,0.5365384615384615
0.573076923076923,0.5682692307692307,0.5538461538461539,0.5596153846153846,0.55,0.5432692307692307
0.5778846153846153,0.5788461538461539,0.5615384615384615,0.5634615384615385,0.5548076923076923,0.5461538461538461
0.5769230769230769,0.5836538461538462,0.5673076923076923,0.5701923076923077,0.5528846153846154,0.5528846153846154
0.5798076923076924,0.5884615384615385,0.5711538461538461,0.573076923076923,0.5548076923076923,0.5653846153846154
0.5778846153846153,0.5951923076923077,0.5692307692307692,0.5769230769230769,0.5596153846153846,0.5653846153846154
0.5817307692307693,0.5951923076923077,0.5778846153846153,0.5788461538461539,0.5682692307692307,0.5663461538461538
0.5798076923076924,0.5980769230769231,0.5836538461538462,0.5807692307692308,0.5721153846153846,0.5711538461538461
0.5817307692307693,0.6,0.5884615384615385,0.5855769230769231,0.5759615384615384,0.5759615384615384
0.5826923076923077,0.6,0.5903846153846154,0.5903846153846154,0.5817307692307693,0.5798076923076924
0.5836538461538462,0.6038461538461538,0.5932692307692308,0.5875,0.5798076923076924,0.5826923076923077
0.5875,0.6067307692307692,0.5961538461538461,0.5923076923076923,0.5836538461538462,0.5903846153846154
0.5836538461538462,0.6086538461538461,0.5990384615384615,0.5961538461538461,0.5894230769230769,0.5903846153846154
0.5846153846153846,0.6076923076923076,0.6038461538461538,0.6028846153846154,0.5951923076923077,0.5923076923076923
0.5846153846153846,0.6115384615384616,0.6067307692307692,0.6048076923076923,0.5980769230769231,0.5942307692307692
0.5855769230769231,0.614423076923077,0.6086538461538461,0.6076923076923076,0.5980769230769231,0.5980769230769231
0.5903846153846154,0.6134615384615385,0.6134615384615385,0.6105769230769231,0.5990384615384615,0.6028846153846154
0.5913461538461539,0.6067307692307692,0.6115384615384616,0.6153846153846154,0.6057692307692307,0.6028846153846154
0.5913461538461539,0.6076923076923076,0.6115384615384616,0.6173076923076923,0.6105769230769231,0.6038461538461538
0.5942307692307692,0.6086538461538461,0.6115384615384616,0.6192307692307693,0.6115384615384616,0.6057692307692307
0.5961538461538461,0.6086538461538461,0.614423076923077,0.6173076923076923,0.6096153846153847,0.6086538461538461
0.5971153846153846,0.6105769230769231,0.6192307692307693,0.6211538461538462,0.6134615384615385,0.6105769230769231
0.5971153846153846,0.6105769230769231,0.6173076923076923,0.6211538461538462,0.6153846153846154,0.6115384615384616
0.5980769230769231,0.6115384615384616,0.6163461538461539,0.6230769230769231,0.6153846153846154,0.6192307692307693
0.5990384615384615,0.6125,0.6163461538461539,0.6221153846153846,0.6134615384615385,0.6173076923076923
0.6009615384615384,0.6182692307692308,0.6153846153846154,0.6221153846153846,0.6163461538461539,0.6182692307692308
0.6048076923076923,0.6134615384615385,0.6182692307692308,0.6259615384615385,0.6182692307692308,0.6201923076923077
0.6096153846153847,0.6134615384615385,0.6182692307692308,0.6278846153846154,0.6201923076923077,0.6211538461538462
0.614423076923077,0.614423076923077,0.6211538461538462,0.6307692307692307,0.6240384615384615,0.6211538461538462
0.6221153846153846,0.6201923076923077,0.6240384615384615,0.6326923076923077,0.6221153846153846,0.6211538461538462
0.6278846153846154,0.6230769230769231,0.6288461538461538,0.635576923076923,0.625,0.6201923076923077
0.6307692307692307,0.625,0.6346153846153846,0.6336538461538461,0.6278846153846154,0.625
0.635576923076923,0.6288461538461538,0.6326923076923077,0.6403846153846153,0.6278846153846154,0.6211538461538462
0.6394230769230769,0.6346153846153846,0.6346153846153846,0.6432692307692308,0.6317307692307692,0.6240384615384615
0.6423076923076924,0.6375,0.6317307692307692,0.6413461538461539,0.6317307692307692,0.6259615384615385
0.6480769230769231,0.6423076923076924,0.6326923076923077,0.635576923076923,0.6336538461538461,0.6259615384615385
0.6528846153846154,0.6375,0.6326923076923077,0.635576923076923,0.6278846153846154,0.6240384615384615
0.6576923076923077,0.6384615384615384,0.6336538461538461,0.6346153846153846,0.6259615384615385,0.6230769230769231
0.6596153846153846,0.6365384615384615,0.6298076923076923,0.6326923076923077,0.625,0.6269230769230769
